"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"AGAUP","","AGAUP","Agoseris aurantiaca var. purpurea","","Agoseris","","aurantiaca","","","","var.","","purpurea","","","","","(Hook.) Greene","(A. Gray) Cronquist","","","","USA (AZ, CO, MT, NM, NV, UT, WY)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"AGGL","","AGGL","Agoseris glauca","","Agoseris","","glauca","","","","","","","","","","","(Pursh) Raf.","","","","","USA (AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK)","Perennial","Forb/herb, Shrub, Subshrub","L48 (N), AK (N), CAN (N)","Mid Spring"
"AGGLA","","AGGLA","Agoseris glauca var. agrestis","","Agoseris","","glauca","","","","var.","","agrestis","","","","","(Pursh) Raf.","(Osterh.) Q. Jones ex Cronquist","","","","USA (CO, ID, MN, MT, NV, OR, UT, WA)","Perennial","Forb/herb","L48 (N)",""
"AGGLD","","AGGLD","Agoseris glauca var. dasycephala","","Agoseris","","glauca","","","","var.","","dasycephala","","","","","(Pursh) Raf.","(Torr. & A. Gray) Jeps.","","","","USA (AK, AZ, CO, ID, MT, ND, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, SK)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"AGGLG","","AGGLG","Agoseris glauca var. glauca","","Agoseris","","glauca","","","","var.","","glauca","","","","","(Pursh) Raf.","(Pursh) Raf.","","","","USA (AZ, CA, CO, IA, ID, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"AGGLL","","AGGLL","Agoseris glauca var. laciniata","","Agoseris","","glauca","","","","var.","","laciniata","","","","","(Pursh) Raf.","(D.C. Eaton) Smiley","","","","USA (AZ, CA, CO, ID, KS, MN, MT, ND, NM, NV, OR, UT, WY)","Perennial","Forb/herb, Shrub, Subshrub","L48 (N)",""
"AGHE2","","AGHE2","Agoseris heterophylla","","Agoseris","","heterophylla","","","","","","","","","","","(Nutt.) Greene","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA), CAN (BC)","Annual","Forb/herb","L48 (N), CAN (N)",""
"AGHEH","","AGHEH","Agoseris heterophylla var. heterophylla","","Agoseris","","heterophylla","","","","var.","","heterophylla","","","","","(Nutt.) Greene","(Nutt.) Greene","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA), CAN (BC)","Annual","Forb/herb","L48 (N), CAN (N)",""
"AGMO2","","AGMO2","Agoseris ×montana","","Agoseris","×","montana","","","","","","","","","","","Osterh. (pro sp.)","","","","[aurantiaca var. purpurea × glauca var. dasycephala]","USA (CO)","Perennial","Forb/herb","L48 (N)",""
"AGRIM","","AGRIM","Agrimonia","","Agrimonia","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","","","",""
"AGST","","AGST","Agrimonia striata","","Agrimonia","","striata","","","","","","","","","","","Michx.","","","","","USA (AL, AZ, CO, CT, DE, GA, IA, KY, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SD, VT, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Perennial","Forb/herb","L48 (N), CAN (N), SPM (N)","Mid Summer"
"AGROP2","","AGROP2","Agropyron","","Agropyron","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MO, MT, ND, NE, NH, NM, NV, NY, OH, OK, OR, SD, TX, UT, WA, WI, WY), CAN (AB, BC, LB, MB, NS, NT, ON, QC, SK, YT)","","","",""
"AGCR","","AGCR","Agropyron cristatum","","Agropyron","","cristatum","","","","","","","","","","","(L.) Gaertn.","","","","","USA (AK, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, LB, MB, NS, NT, ON, QC, SK, YT)","Perennial","Graminoid","L48 (I), AK (I), CAN (I)",""
"AGCRC","","AGCRC","Agropyron cristatum ssp. cristatum","","Agropyron","","cristatum","ssp.","","cristatum","","","","","","","","(L.) Gaertn.","(L.) Gaertn.","","","","USA (CO, NM)","Perennial","Graminoid","L48 (I)",""
"AGCRP8","","AGCRP8","Agropyron cristatum ssp. pectinatum","","Agropyron","","cristatum","ssp.","","pectinatum","","","","","","","","(L.) Gaertn.","(M. Bieb.) Tzvelev","","","","USA (AK, CA, CO, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, LB, MB, NS, NT, ON, QC, SK, YT)","Perennial","Graminoid","L48 (I), AK (I), CAN (I)",""
"AGDE2","","AGDE2","Agropyron desertorum","","Agropyron","","desertorum","","","","","","","","","","","(Fisch. ex Link) Schult.","","","","","USA (AZ, CA, CO, IA, IL, IN, KS, MA, MO, MT, ND, NM, NV, NY, OH, OR, SD, TX, UT, WI, WY)","Perennial","Graminoid","L48 (I)","Early Spring"
"AGFR","","AGFR","Agropyron fragile","","Agropyron","","fragile","","","","","","","","","","","(Roth) P. Candargy","","","","","USA (CO, MT, NM, NV, SD, UT, WY), CAN (AB, BC, MB, NT, SK, YT)","Perennial","Graminoid","L48 (I), CAN (I)","Mid Spring"
"AGROS","","AGROS","Agrostemma","","Agrostemma","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (MB, NB, ON, PE, QC, SK)","","","",""
"AGBR4","","AGBR4","Agrostemma brachyloba","","Agrostemma","","brachyloba","","","","","","","","","","","(Fenzl) Hammer","","","","","USA (CO)","Annual","Forb/herb","L48 (I)",""
"AGGI","","AGGI","Agrostemma githago","","Agrostemma","","githago","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (MB, NB, ON, PE, QC, SK)","Annual","Forb/herb","L48 (I), AK (I), CAN (I)",""
"AGROS2","","AGROS2","Agrostis","","Agrostis","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"AGEX","","AGEX","Agrostis exarata","","Agrostis","","exarata","","","","","","","","","","","Trin.","","","","","USA (AK, AZ, CA, CO, ID, KY, MT, NE, NM, NV, OK, OR, SD, TX, UT, VT, WA, WY), CAN (AB, BC, NT, SK, YT)","Perennial","Graminoid","L48 (N), AK (N), CAN (N)","Late Spring"
"AGGI2","","AGGI2","Agrostis gigantea","","Agrostis","","gigantea","","","","","","","","","","","Roth","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL)","Perennial","Graminoid","L48 (I), AK (I), CAN (I), GL (I)","Mid Spring"
"AGHU","","AGHU","Agrostis humilis","","Agrostis","","humilis","","","","","","","","","","","Vasey","","","","","USA (AK, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, ON)","Perennial","Graminoid","L48 (N), AK (N), CAN (N)",""
"AGID","","AGID","Agrostis idahoensis","","Agrostis","","idahoensis","","","","","","","","","","","Nash","","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)","Perennial","Graminoid","L48 (N), AK (N), CAN (N)","Late Spring"
"AGME3","","AGME3","Agrostis mertensii","","Agrostis","","mertensii","","","","","","","","","","","Trin.","","","","","USA (AK, CO, ME, MT, NC, NH, NY, SC, TN, UT, VA, VT, WA, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Perennial","Graminoid","L48 (N), AK (N), CAN (N), GL (N)",""
"AGSC5","","AGSC5","Agrostis scabra","","Agrostis","","scabra","","","","","","","","","","","Willd.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Graminoid","L48 (N), AK (N), CAN (N), GL (N), SPM (N)","Early Spring"
"AGST2","","AGST2","Agrostis stolonifera","","Agrostis","","stolonifera","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), DEN (GL), FRA (SPM)","Perennial","Graminoid","L48 (I), AK (I), HI (I), CAN (I), GL (I), SPM (I)","Mid Summer"
"AGVA","","AGVA","Agrostis variabilis","","Agrostis","","variabilis","","","","","","","","","","","Rydb.","","","","","USA (CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC)","Perennial","Graminoid","L48 (N), CAN (N)",""
"AILAN","","AILAN","Ailanthus","","Ailanthus","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV), CAN (ON, QC)","","","",""
"AIAL","","AIAL","Ailanthus altissima","","Ailanthus","","altissima","","","","","","","","","","","(Mill.) Swingle","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV), CAN (ON, QC)","Perennial","Tree","L48 (I), HI (I), CAN (I)","Late Spring"
"ALCEA","","ALCEA","Alcea","","Alcea","","","","","","","","","","","","","","","","","","USA (CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (MB, NB, ON, QC)","","","",""
"ALRO3","","ALRO3","Alcea rosea","","Alcea","","rosea","","","","","","","","","","","L.","","","","","USA (CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (MB, NB, ON, QC)","Biennial, Perennial","Forb/herb","L48 (I), PR (I), CAN (I)",""
"ALETE","","ALETE","Aletes","","Aletes","","","","","","","","","","","","","","","","","","USA (AZ, CO, NM, TX, UT, WY)","","","",""
"ALAC2","","ALAC2","Aletes acaulis","","Aletes","","acaulis","","","","","","","","","","","(Torr.) J.M. Coult. & Rose","","","","","USA (CO, NM, TX)","Perennial","Forb/herb","L48 (N)",""
"ALAN3","","ALAN3","Aletes anisatus","","Aletes","","anisatus","","","","","","","","","","","(A. Gray) W.L. Theobald & C.C. Tseng","","","","","USA (CO)","Perennial","Forb/herb","L48 (N)",""
"ALHU","","ALHU","Aletes humilis","","Aletes","","humilis","","","","","","","","","","","J.M. Coult. & Rose","","","","","USA (CO, WY)","Perennial","Forb/herb","L48 (N)",""
"ALMA3","","ALMA3","Aletes macdougalii","","Aletes","","macdougalii","","","","","","","","","","","J.M. Coult. & Rose","","","","","USA (AZ, CO, NM, UT)","Perennial","Forb/herb","L48 (N)",""
"ALMAB","","ALMAB","Aletes macdougalii ssp. breviradiatus","","Aletes","","macdougalii","ssp.","","breviradiatus","","","","","","","","J.M. Coult. & Rose","W.L. Theobald & C.C. Tseng","","","","USA (CO, NM, UT)","Perennial","Forb/herb","L48 (N)",""
"ALSE5","","ALSE5","Aletes sessiliflorus","","Aletes","","sessiliflorus","","","","","","","","","","","W.L. Theobald & C.C. Tseng","","","","","USA (AZ, CO, NM)","Perennial","Forb/herb","L48 (N)",""
"ALHAG","","ALHAG","Alhagi","","Alhagi","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, NM, NV, TX, UT, WA)","","","",""
"ALMA12","","ALMA12","Alhagi maurorum","","Alhagi","","maurorum","","","","","","","","","","","Medik.","","","","","USA (AZ, CA, CO, ID, NM, NV, TX, UT, WA)","Perennial","Shrub","L48 (I)",""
"ALICI","","ALICI","Aliciella","","Aliciella","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, KS, MT, NE, NM, NV, OR, UT, WA, WY)","","","",""
"ALHA6","","ALHA6","Aliciella haydenii","","Aliciella","","haydenii","","","","","","","","","","","(A. Gray) J.M. Porter","","","","","USA (CO, NM, UT)","Annual, Biennial","Forb/herb","L48 (N)",""
"ALLE7","","ALLE7","Aliciella leptomeria","","Aliciella","","leptomeria","","","","","","","","","","","(A. Gray) J.M. Porter","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Annual","Forb/herb","L48 (N)",""
"ALMC","","ALMC","Aliciella mcvickerae","","Aliciella","","mcvickerae","","","","","","","","","","","(M.E. Jones) J.M. Porter","","","","","USA (CO, NM, UT, WY)","Annual, Biennial","Forb/herb","L48 (N)",""
"ALMI10","","ALMI10","Aliciella micromeria","","Aliciella","","micromeria","","","","","","","","","","","(A. Gray) J.M. Porter","","","","","USA (CA, CO, NV, OR, UT)","Annual","Forb/herb","L48 (N)",""
"ALPE11","","ALPE11","Aliciella penstemonoides","","Aliciella","","penstemonoides","","","","","","","","","","","(M.E. Jones) J.M. Porter","","","","","USA (CO)","Biennial, Perennial","Forb/herb","L48 (N)",""
"ALPI2","","ALPI2","Aliciella pinnatifida","","Aliciella","","pinnatifida","","","","","","","","","","","(Nutt. ex A. Gray) J.M. Porter","","","","","USA (CO, KS, NE, NM, UT, WY)","Annual, Biennial, Perennial","Forb/herb","L48 (N)",""
"ALSE11","","ALSE11","Aliciella sedifolia","","Aliciella","","sedifolia","","","","","","","","","","","(Brandegee) J.M. Porter","","","","","USA (CO)","Annual","Forb/herb","L48 (N)",""
"ALST12","","ALST12","Aliciella stenothyrsa","","Aliciella","","stenothyrsa","","","","","","","","","","","(A. Gray) J.M. Porter","","","","","USA (CO, UT)","Perennial","Forb/herb","L48 (N)",""
"ALSU10","","ALSU10","Aliciella subacaulis","","Aliciella","","subacaulis","","","","","","","","","","","(Rydb.) J.M. Porter & L.A. Johnson","","","","","USA (AZ, CA, CO, NV, OR, UT, WY)","Annual","Forb/herb","L48 (N)",""
"ALSU9","","ALSU9","Aliciella subnuda","","Aliciella","","subnuda","","","","","","","","","","","(Torr. ex A. Gray) J.M. Porter","","","","","USA (AZ, CO, NM, UT)","Biennial, Perennial","Forb/herb","L48 (N)",""
"ALTR14","","ALTR14","Aliciella triodon","","Aliciella","","triodon","","","","","","","","","","","(Eastw.) Brand","","","","","USA (AZ, CA, CO, ID, NM, NV, OR, UT)","Annual","Forb/herb","L48 (N)",""
"ALISM","","ALISM","Alisma","","Alisma","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)","","","",""
"ALGR","","ALGR","Alisma gramineum","","Alisma","","gramineum","","","","","","","","","","","Lej.","","","","","USA (AZ, CA, CO, IA, ID, MN, MO, MT, ND, NE, NM, NV, NY, OR, SD, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)","Mid Summer"
"ALSU","","ALSU","Alisma subcordatum","","Alisma","","subcordatum","","","","","","","","","","","Raf.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, NB, ON, QC)","Perennial","Forb/herb","L48 (N), CAN (N)","Late Spring"
"ALTR7","","ALTR7","Alisma triviale","","Alisma","","triviale","","","","","","","","","","","Pursh","","","","","USA (AK, AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"ALLIA","","ALLIA","Alliaria","","Alliaria","","","","","","","","","","","","","","","","","","USA (AK, AR, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, SC, TN, UT, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, QC)","","","",""
"ALPE4","","ALPE4","Alliaria petiolata","","Alliaria","","petiolata","","","","","","","","","","","(M. Bieb.) Cavara & Grande","","","","","USA (AK, AR, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, SC, TN, UT, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, QC)","Annual, Biennial","Forb/herb","L48 (I), AK (I), CAN (I)",""
"ALLIO","","ALLIO","Allionia","","Allionia","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, NM, NV, OK, TX, UT)","","","",""
"ALCH","","ALCH","Allionia choisyi","","Allionia","","choisyi","","","","","","","","","","","Standl.","","","","","USA (AZ, CO, NM, TX, UT)","Annual, Perennial","Forb/herb","L48 (N)",""
"ALIN","","ALIN","Allionia incarnata","","Allionia","","incarnata","","","","","","","","","","","L.","","","","","USA (AZ, CA, CO, NM, NV, OK, TX, UT)","Annual, Perennial","Forb/herb","L48 (N)",""
"ALINI","","ALINI","Allionia incarnata var. incarnata","","Allionia","","incarnata","","","","var.","","incarnata","","","","","L.","L.","","","","USA (AZ, CO, NM, OK, TX, UT)","Perennial","Forb/herb","L48 (N)",""
"ALLIU","","ALLIU","Allium","","Allium","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (VI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT)","","","",""
"ALAC4","","ALAC4","Allium acuminatum","","Allium","","acuminatum","","","","","","","","","","","Hook.","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)","Perennial","Forb/herb","L48 (N), CAN (N)","Summer"
"ALBR","","ALBR","Allium brandegeei","","Allium","","brandegeei","","","","","","","","","","","S. Watson","","","","","USA (CO, ID, MT, NV, OR, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"ALBR2","","ALBR2","Allium brevistylum","","Allium","","brevistylum","","","","","","","","","","","S. Watson","","","","","USA (CO, ID, MT, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"ALCE2","","ALCE2","Allium cernuum","","Allium","","cernuum","","","","","","","","","","","Roth","","","","","USA (AL, AR, AZ, CO, DC, GA, IA, ID, IL, IN, KY, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NM, NY, OH, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, ON, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALCEC2","","ALCEC2","Allium cernuum var. cernuum","","Allium","","cernuum","","","","var.","","cernuum","","","","","Roth","Roth","","","","USA (AL, AR, CO, DC, GA, IA, ID, IL, IN, KY, MD, MI, MN, MO, MS, MT, NC, NE, NY, OH, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, ON, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALCEO","","ALCEO","Allium cernuum var. obtusum","","Allium","","cernuum","","","","var.","","obtusum","","","","","Roth","Cockerell ex J.F. Macbr.","","","","USA (AZ, CO, MT, NM, WA, WY), CAN (SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALGE","","ALGE","Allium geyeri","","Allium","","geyeri","","","","","","","","","","","S. Watson","","","","","USA (AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALGEG","","ALGEG","Allium geyeri var. geyeri","","Allium","","geyeri","","","","var.","","geyeri","","","","","S. Watson","S. Watson","","","","USA (AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALGET","","ALGET","Allium geyeri var. tenerum","","Allium","","geyeri","","","","var.","","tenerum","","","","","S. Watson","M.E. Jones","","","","USA (AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ALMA4","","ALMA4","Allium macropetalum","","Allium","","macropetalum","","","","","","","","","","","Rydb.","","","","","USA (AZ, CO, NM, TX, UT)","Perennial","Forb/herb","L48 (N)",""
"ALNE","","ALNE","Allium nevadense","","Allium","","nevadense","","","","","","","","","","","S. Watson","","","","","USA (AZ, CA, CO, ID, NV, OR, UT)","Perennial","Forb/herb","L48 (N)",""
"ALSA2","","ALSA2","Allium sativum","","Allium","","sativum","","","","","","","","","","","L.","","","","","USA (AL, AR, CA, CO, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NE, NY, OH, OK, PA, SC, TN, VA, VT, WI, WV), CAN (MB, ON)","Perennial","Forb/herb","L48 (I), CAN (I)",""
"ALSC","","ALSC","Allium schoenoprasum","","Allium","","schoenoprasum","","","","","","","","","","","L.","","","","","USA (AK, CO, CT, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NH, NJ, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT)","Perennial","Forb/herb","L48 (NI), AK (NI), CAN (NI)",""
"ALSCS","","ALSCS","Allium schoenoprasum var. sibiricum","","Allium","","schoenoprasum","","","","var.","","sibiricum","","","","","L.","(L.) Hartm.","","","","USA (AK, CO, CT, IL, MA, MD, ME, MI, MN, MO, MT, NH, NJ, NV, NY, OH, OR, PA, UT, VA, VT, WA), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"ALTE","","ALTE","Allium textile","","Allium","","textile","","","","","","","","","","","A. Nelson & J.F. Macbr.","","","","","USA (CO, IA, ID, KS, MN, MT, ND, NE, NM, NV, SD, UT, WA, WY), CAN (AB, MB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)","Mid Spring"
"ALMUT2","","ALMUT2","Almutaster","","Almutaster","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, MT, ND, NM, NV, SD, UT, WY), CAN (AB, MB, NT, SK)","","","",""
